CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -22.678750          1.78          -344.008302          4.78           -10.186083        -344.024534          3.09                0.15         
CONF2        -22.678787          1.76          -344.011406          2.83           -10.148419        -344.027579          1.17                3.86         
CONF3        -22.680151          0.90          -344.009406          4.09           -9.282710         -344.024199          3.30                0.11         
CONF4        -22.679471          1.33          -344.014250          1.05           -9.539138         -344.029451          0.00               28.03         
CONF5        -22.678470          1.96          -344.013503          1.52           -9.990293         -344.029424          0.02               27.23         
CONF6        -22.678621          1.86          -344.011714          2.64           -9.866402         -344.027437          1.26                3.32         
CONF7        -22.677479          2.58          -344.009081          4.29           -10.576659        -344.025936          2.21                0.68         
CONF8        -22.679191          1.50          -344.009842          3.82           -9.485482         -344.024958          2.82                0.24         
CONF9        -22.677602          2.50          -344.009073          4.30           -10.454550        -344.025733          2.33                0.55         
CONF10       -22.676807          3.00          -344.009121          4.27           -10.898809        -344.026490          1.86                1.22         
CONF11       -22.676749          3.04          -344.008743          4.51           -10.911080        -344.026131          2.08                0.83         
CONF12       -22.681586          0.00          -344.015922          0.00           -7.835102         -344.028408          0.65                9.29         
CONF13       -22.677758          2.40          -344.007958          5.00           -10.175790        -344.024175          3.31                0.10         
CONF14       -22.678602          1.87          -344.010243          3.56           -9.609756         -344.025557          2.44                0.45         
CONF15       -22.677515          2.55          -344.008893          4.41           -10.294413        -344.025299          2.61                0.34         
CONF16       -22.676885          2.95          -344.008426          4.70           -10.682072        -344.025449          2.51                0.40         
CONF17       -22.678990          1.63          -344.010521          3.39           -9.340384         -344.025406          2.54                0.39         
CONF18       -22.677269          2.71          -344.011581          2.72           -10.390442        -344.028139          0.82                6.98         
CONF19       -22.678965          1.65          -344.011470          2.79           -9.273974         -344.026249          2.01                0.94         
CONF20       -22.678984          1.63          -344.011418          2.83           -9.261124         -344.026177          2.05                0.87         
