CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF1        -24.060633          ---           -312.203005       -0.004746        ---         -312.207750          0.46                4.08         
CONF2        -24.059887          ---           -312.203454       -0.005027        ---         -312.208481          0.00                8.85         
CONF3        -24.059631          ---           -312.202472       -0.005758        ---         -312.208230          0.16                6.78         
CONF4        -24.059287          ---           -312.202640       -0.005383        ---         -312.208024          0.29                5.45         
CONF5        -24.059277          ---           -312.202859       -0.005427        ---         -312.208286          0.12                7.20         
CONF6        -24.059268          ---           -312.202333       -0.005362        ---         -312.207695          0.49                3.85         
CONF7        -24.059147          ---           -312.202902       -0.005444        ---         -312.208346          0.08                7.67         
CONF8        -24.059077          ---           -312.203260       -0.004904        ---         -312.208164          0.20                6.33         
CONF9        -24.058893          ---           -312.199462       -0.005140        ---         -312.204602          2.43                0.15         
CONF10       -24.058840          ---           -312.203224       -0.004703        ---         -312.207928          0.35                4.92         
CONF11       -24.058471          ---           -312.202856       -0.004754        ---         -312.207610          0.55                3.52         
CONF12       -24.058389          ---           -312.202514       -0.005287        ---         -312.207801          0.43                4.30         
CONF13       -24.058361          ---           -312.203635       -0.004585        ---         -312.208220          0.16                6.71         
CONF14       -24.058218          ---           -312.202729       -0.004571        ---         -312.207300          0.74                2.53         
CONF15       -24.058191          ---           -312.203208       -0.004844        ---         -312.208053          0.27                5.62         
CONF16       -24.057865          ---           -312.203137       -0.005260        ---         -312.208397          0.05                8.10         
CONF17       -24.057745          ---           -312.203006       -0.004920        ---         -312.207926          0.35                4.91         
CONF18       -24.057464          ---           -312.199495       -0.005207        ---         -312.204702          2.37                0.16         
CONF19       -24.057178          ---           -312.203007       -0.005242        ---         -312.208249          0.15                6.92         
CONF20       -24.056914          ---           -312.198296       -0.006235        ---         -312.204531          2.48                0.13         
CONF21       -24.056904          ---           -312.198963       -0.005064        ---         -312.204027          2.79                0.08         
CONF22       -24.056635          ---           -312.198208       -0.005956        ---         -312.204164          2.71                0.09         
CONF23       -24.056548          ---           -312.198388       -0.005344        ---         -312.203732          2.98                0.06         
CONF24       -24.056531          ---           -312.199763       -0.005414        ---         -312.205178          2.07                0.27         
CONF26       -24.056286          ---           -312.199304       -0.005683        ---         -312.204987          2.19                0.22         
CONF28       -24.056052          ---           -312.199298       -0.005889        ---         -312.205187          2.07                0.27         
CONF29       -24.055589          ---           -312.198808       -0.005631        ---         -312.204439          2.54                0.12         
CONF30       -24.055205          ---           -312.197615       -0.004981        ---         -312.202595          3.69                0.02         
CONF31       -24.055191          ---           -312.197868       -0.005352        ---         -312.203220          3.30                0.03         
CONF32       -24.055000          ---           -312.198356       -0.004563        ---         -312.202919          3.49                0.02         
CONF35       -24.054521          ---           -312.198623       -0.004827        ---         -312.203450          3.16                0.04         
CONF36       -24.054511          ---           -312.198530       -0.004862        ---         -312.203392          3.19                0.04         
CONF37       -24.054483          ---           -312.198367       -0.004903        ---         -312.203270          3.27                0.04         
CONF38       -24.054460          ---           -312.198257       -0.004930        ---         -312.203187          3.32                0.03         
CONF39       -24.054437          ---           -312.198134       -0.004965        ---         -312.203099          3.38                0.03         
CONF41       -24.054207          ---           -312.198427       -0.004785        ---         -312.203212          3.31                0.03         
CONF42       -24.054204          ---           -312.198475       -0.004782        ---         -312.203257          3.28                0.03         
CONF43       -24.054204          ---           -312.198393       -0.004797        ---         -312.203190          3.32                0.03         
CONF44       -24.054199          ---           -312.198510       -0.004770        ---         -312.203280          3.26                0.04         
CONF45       -24.054194          ---           -312.198542       -0.004785        ---         -312.203327          3.23                0.04         
CONF46       -24.054184          ---           -312.198600       -0.004827        ---         -312.203428          3.17                0.04         
CONF47       -24.054174          ---           -312.198603       -0.004829        ---         -312.203432          3.17                0.04         
CONF48       -24.054162          ---           -312.198605       -0.004837        ---         -312.203442          3.16                0.04         
CONF50       -24.053726          ---           -312.198187       -0.006185        ---         -312.204372          2.58                0.11         
CONF51       -24.053460          ---           -312.198428       -0.004451        ---         -312.202879          3.52                0.02         
CONF52       -24.053400          ---           -312.197860       -0.004491        ---         -312.202350          3.85                0.01         
CONF53       -24.053390          ---           -312.197558       -0.004669        ---         -312.202227          3.92                0.01         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -312.2029097    -312.2080317     <<==part1==
----------------------------------------------------------------------------------------------------

